Album Name,Artist,Spotify URI,credit: YOUR NAME HERE!,Anthony Fantano's Score
Black & Brown,Black Milk & Danny Brown,spotify:album:61KN8iSYTZq58bfsCfEwiZ,Austin DIaz,7
Abhorrent Evolution,Oblivionized,spotify:album:6bOECMl0zT0DewJKKWACEx,( Anonymous ),8
Lulu,Lou Reed and Metallica,spotify:album:3FgLMfp5o2h2rAny7S6h57,( Anonymous ),6
LiveLoveA$AP,ASAP Rocky,spotify:album:6rzMufuu8sLkIizM4q9c7J,Sami Mian,8
Live Music,The Strange Boys,spotify:album:02b4Matiww4tIE0jReEzIH,Stan Monsta X,7
All Things Will Unwind,My Brightest Diamond,spotify:album:2MylYKFWeJ4bFnnVBJiJiY,Stan Monsta X,6
Transmission Zero,Ghoul,spotify:album:25iVghk1Wvg9tMYp1jGeIP,Austin Diaz,8
Crazy Clown Time,David Lynch,spotify:album:52jn6RW1z698JnDAkF0AfR,SPOOPI,5
Camp,Childish Gambino,spotify:album:32KdoFFhgjCLdU0DWL71tx,SPOOPI,2
Parallax,Atlas Sound,spotify:album:6tMrRLV4mPCKOGZxWXF71P,Stan Monsta X,6
The Lack Long After,Pianos Become the Teeth,spotify:album:0JvkUMttIwTRYwm3OVBoch,Austin DIaz,6
Take Care,Drake,spotify:album:6X1x82kppWZmDzlXXK3y3q,SPOOPI,6
Radiant Door,Crystal Stilts,spotify:album:06qNYv5lDARsf3tfcBzKFT,Austin DIaz,6
King Krule,King Krule,spotify:album:0ArFggSom5SgINPsvGGFlK,Stan Monsta X,7
Ambition,Wale,spotify:album:0jCVC8ndYYOooEY2YTO1l6,SPOOPI,4
Blue Slide Park,Mac Miller,spotify:album:6VhDYmsjHqRxKXd0z7hmXI,SPOOPI,5
Carbon-Based Anatomy,Cynic,spotify:album:6QDmTnuef1wSMV7yd6i3hZ,SPOOPI,7
50 Words For Snow,Kate Bush,spotify:album:1VAB3Xn92dPKPWzocgQqkh,SPOOPI,7
Outer Isolation,Vektor,spotify:album:1KzsSFzRO8903u1XTyEi8U,SPOOPI,8
?????,The Log.Os,spotify:album:50bUuupv2Ww81YJW7n3Ktd,Stan Monsta X,8
The Spits,The Spits,spotify:album:4IH4X1p5E6WjigQdS1Z5B6,SPOOPI,6
Radioactive,Yelawolf,spotify:album:3AGMorE666prvzWaHGddKo,SPOOPI,5
Self-Titled,Red Horse,spotify:album:5UxUv9TbiJNIFGllPeyY4A,Stan Monsta X,6
Replica,Oneohtrix Point Never,spotify:album:4Wq9kfnBR0npGfsuQl8kDW,Xander,8
Howl of the Lonely Crowd,Comet Gain,spotify:album:7yO47kub4Ew8kFxP101HPS,Xander,7
El Camino,The Black Keys,spotify:album:5DLhV9yOvZ7IxVmljMXtNm,Xander,6
Glimmer,Jacaszek,spotify:album:6KOaPwfnqRYrFiAkYgZL5e,Xander,7
Spiritual State,Nujabes,spotify:album:724juUMeWRW82bDoyH91Vd,Xander,6
Dwellings,Cormorant,spotify:album:3raT2nPO0mBLLhacYCRPxQ,AidanAce,8
Humor Risk,Cass McCombs,spotify:album:5mfSVc5mIyh1Ve0DBRWFkh,AidanAce,6
Purple Naked Ladies,The Internet,spotify:album:1ZTnvAXIujEZZ8kzfJirxp,AidanAce,4
Let's Go Eat the Factory,Guided by Voices,spotify:album:2pBS6TXHJpEs7UJiGC6iso,AidanAce,6
Echoes of Silence,The Weeknd,spotify:album:5EbpxRwbbpCJUepbqVTZ1U,( Anonymous ),8
Idiom Wind,Zammuto,spotify:album:0CvAR7GhPaKUFG8HwnJhtB,Stan Monsta X,7
Les voyages de l'âme,Alcest,spotify:album:1y9zL8o1XLnLsiDzoC7v0O,AidanAce,5
Come Sunday,Charlie Haden & Hank Jones,spotify:album:2ntGI3niS9mmoSvTdt4BtS,AidanAce,6
Amongst These Splintered Minds...,The Act of Estimating as Worthless,spotify:album:2qEAPRV0Aqici7A9MO5986,AidanAce,7
Attack On Memory,Cloud Nothings,spotify:album:1JgpvdsSfE94eZzYBk6ph9,AidanAce,8
Habits & Contradictions,Schoolboy Q,spotify:album:6Xz8eKy8TeAyzwGr8QSOAS,AidanAce,5
Tape One,Young Fathers,spotify:album:5FGYd2lKYeFHpybmNsa4q7,Stan Monsta X,8
The Lion's Roar,First Aid Kit,spotify:album:5Wblz3wiSHrbGB9FdLBJmt,AidanAce,7
MU.ZZ.LE,Gonjasufi,spotify:album:290CWAmpyHJPgH57qVEs0h,AidanAce,6
Something,Chairlift,spotify:album:4nYzn3xOXQsltWZ5AIQns7,Austin DIaz,7
Resolution,Lamb of God,spotify:album:4ziMCfnsGVmOIaVjHzcPMk,AidanAce,3
The Horror,Pop. 1280,spotify:album:5sHPVgxc5nuPkZYNVJJMXI,Austin Diaz,7
Nehru Jackets,Heems,spotify:album:6zd458z1GEmINbwARpBYIA,( Anonymous ),8
Born to Die,Lana Del Rey,spotify:album:4X8hAqIWpQyQks2yRhyqs4,AidanAce,3
Given to the Wild,The Maccabees,spotify:album:4Kp0ABJPotf4Ufivi4J3EZ,AidanAce,5
fin,John Talabot,spotify:album:4esRg2sry34w2G0HT7jcLI,Stan Monsta X,8
I.V.,Loma Prieta,spotify:album:6jLJmPV4WLq9zEHM0dGYCy,AidanAce,8
Paralytic Stalks,of Montreal,spotify:album:1GEvc3u1Fu0CoKPesy1gDJ,AidanAce,7
Old Ideas,Leonard Cohen,spotify:album:0waLDJlCfXkXIwFGdBZ6UK,AidanAce,5
Onwards To The Wall,A Place To Bury Strangers,spotify:album:1Mq8EWtelbwo1RoxHLZFAT,AidanAce,5
Vacation,Shlohmo,spotify:album:3LVxeR0VvnVs1jkIIaqLau,Stan Monsta X,7
Tramp,Sharon Van Etten,spotify:album:7bYAuBOpWMA1F61cbXrKfM,AidanAce,7
Portico Quartet,Portico Quartet,spotify:album:019texP50KanUPgv0AqNob,AidanAce,8
"Angels of Darkness, Demons of Light II",Earth,spotify:album:5eOZL18Ximv0FM23UNO94B,Stan Monsta X,6
Kindred EP,Burial,spotify:album:3BpTqGx3AaQ0q4fHPgKRMd,AidanAce,8
Young & Old,Tennis,spotify:album:0wyBYIcPaGBcM4hygCnWQE,AidanAce,4
Blood For the Master,Goatwhore,spotify:album:3pcqyG46XxOrZb2rAyIdpm,Xander,7
Visions,Grimes,spotify:album:31UkOFXFzs60MKd1yHgh8S,Xander,5
Put Your Back N 2 It,Perfume Genius,spotify:album:5hjlzVCJCePW4DmMJVryla,Xander,9
Reign of Terror,Sleigh Bells,spotify:album:5mLXjjIZE3bgS8VnxBsxf4,Xander,5
Sorrow and Extinction,Pallbearer,spotify:album:4vcqtRCeKGALWvOg910jJi,Xander,7
Possession,Christian Mistress,spotify:album:7u6IrBZDcie0baVSnO55QP,Stan Monsta X,8
WZRD,WZRD,spotify:album:16Tz5tlOTNzG5DnMT4M4Xs,Stan Monsta X,3
4evaNaDay,Big K.R.I.T.,spotify:album:4at0uGMuwSs86UiCXhGVcF,Stan Monsta X,8
Love at the Bottom of the Sea,The Magnetic Fields,spotify:album:0iQKTZccXbbY3eLyYbK2YF,Stan Monsta X,5
Open Your Heart,The Men,spotify:album:0nVaPLv4z2SG4k7ebKLRJ0,Stan Monsta X,7
Narrow,Soap&Skin,spotify:album:1lKDxWrXf5rmg2aO0mOljX,Stan Monsta X,8
The OF Tape Vol. 2,OFWGKTA,spotify:album:7ibEo7IK9E9mi2sU5rJNDC,Stan Monsta X,4
Wreck,Unsane,spotify:album:3N3vFZltoPW3O7ZLCuleoy,Stan Monsta X,7
awE naturalE,THEESatisfaction,spotify:album:2u4ykXRl7gl1Ii1gx2EJ7U,Stan Monsta X,8
Port of Morrow,The Shins,spotify:album:4ZTcGoOrNro2aCAStXEjZi,Jacob Badali,5
Noctourniquet,The Mars Volta,spotify:album:5GyGFzu6xezfUvT3eImX1G,Stan Monsta X,7
Silent Hour / Golden Mile,Daniel Rossen,spotify:album:2s9c5goTy3EP4JsvDSidzm,Stan Monsta X,8
Koloss,Meshuggah,spotify:album:1WzwZsb0LvVXhngbHjBfd9,Stan Monsta X,6
De Vermis Mysteriis,High On Fire,spotify:album:3ApL2qzkBH44ui4OtADlTs,Stan Monsta X,8
Kill For Love,Chromatics,spotify:album:2HWmdX85qrJMwBJajU8xQZ,Stan Monsta X,4
Acousmatic Sorcery,Willis Earl Beal,spotify:album:5EPs5j2F2zXjCe3vob1x0Z,Stan Monsta X,4
"World, You Need a Change of Mind",Kindness,spotify:album:0iw5phulHXROOAF30bOrqO,Stan Monsta X,7
Locked Down,Dr. John,spotify:album:2HhSjSa5X3TQSIkS4CpFyu,Stan Monsta X,7
Spooky Action at a Distance,Lotus Plaza,spotify:album:5rz5Ya430Ht2x3kPcXYOtZ,Stan Monsta X,6
Mr. Impossible,Black Dice,spotify:album:4cAmIhWup5J4lpbNnjP3WM,Stan Monsta X,5
Sweet Heart Sweet Light,Spiritualized,spotify:album:6MQRQ17HwDLjNFLBQ4PCYa,Stan Monsta X,8
Self-Titled,Quakers,spotify:album:198LJ818qx0WUf5MAkX7JC,Stan Monsta X,5
With Siinai: Heartbreaking Bravery,Moonface,spotify:album:6KngKiv604KqRI8RGUYrV5,Stan Monsta X,6
The Money Store,Death Grips,spotify:album:1PQDjdBpHPikAodJqjzm6a,Stan Monsta X,10
Dross Glop,Battles,spotify:album:1WSHvpxWbV3DbE6h36jtmu,Stan Monsta X,6
Blunderbuss,Jack White,spotify:album:5Khz5tP9sdilu9YwlX8AE3,Stan Monsta X,6
Sinews,White Suns,spotify:album:7rV6DA6CTnSZv838VlXXO0,Stan Monsta X,8
Harmonicraft,Torche,spotify:album:4m2nF2XI6ZF6qhUXoYwmJu,Stan Monsta X,8
History Will Absolve me,Billy Woods,spotify:album:1kUE4Li5MJQF8VTvNnGKy8,Stan Monsta X,8
Self-Titled,OFF!,spotify:album:2kwr6ZKGklqvN8VDuZ1uBM,Emerson K,7
Galaxy Garden,Lone,spotify:album:01G2vIEEdYxsXZyi4NzwyJ,Stan Monsta X,8
Strange Clouds,B.o.B.,spotify:album:7qqCw47pAWFzhwTpVRd0zE,Stan Monsta X,4
Ten Stories,mewithoutYou,spotify:album:5yUuvNNfp543G4ZBW6339m,Stan Monsta X,6
Bloom,Beach House,spotify:album:3o8PXwaEbXtQMt4DgBNH2L,Stan Monsta X,8
Ufabulum,Squarepusher,spotify:album:7ajrfqR7FCY4KuzZsVAFSH,Stan Monsta X,6
Control System,Ab-Soul,spotify:album:26RLXRJA7aOOffZJGjUaSW,Stan Monsta X,8
Born Villain,Marilyn Manson,spotify:album:3LHOep5q4yGo96ui8fpSST,Stan Monsta X,3
R.A.P. Music,Killer Mike,spotify:album:5EAhUoAz1G3WTvIfGZvmrh,Coffee Break,8
Natural History,Dope Body,spotify:album:2NXMAzfuhRxxiEeU3KeacE,Coffee Break,9
The Only Place,Best Coast,spotify:album:6fEaHPFPcdyUL14XpGP5KN,Coffee Break,3
Clear Moon,Mount Eerie,spotify:album:24Hcz1suJdxaNrgEC8BG7v,Coffee Break,7
Cancer For Cure,El-P,spotify:album:75QfNfqa1LT0R5MIRKqR2q,Coffee Break,6
Valtari,Sigur Rós,spotify:album:0ZHkshyLAi9f8DXdj3Z5ph,Coffee Break,7
Live From the Underground,Big K.R.I.T.,spotify:album:5kE9pfTSekNenqqdlvtBQd,Coffee Break,7
Sentenced to Life,Black Breath,spotify:album:4xOhXPxrcjesTwl6dhLZUb,Coffee Break,8
Celebration Rock,Japandroids,spotify:album:2sY9WYVH022ulyAYaqvXLW,Coffee Break,5
Americana,Neil Young & Crazy Horse,spotify:album:1VfoJdwAjt5vbcg8TuczNY,Stan Monsta X,7
WIXIW,Liars,spotify:album:7rruJR0g8dK6PZoQy1YP11,Stan Monsta X,7
On Acid,Recondite,spotify:album:0ecFfASyAUeOxSiLx0js0q,Stan Monsta X,8
There's No Leaving Now,The Tallest Man On Earth,spotify:album:6Q0hHqrRXKkbafJcHQQ9dF,Stan Monsta X,8
Kin,iamamiwhoami,spotify:album:4zvurcEdNNGMeg9kSjNOBT,Stan Monsta X,8
Phantom Antichrist,Kreator,spotify:album:3HU1platvyIKG8XGte6awC,Stan Monsta X,5
1999,Joey Bada$$,spotify:album:5ra51AaWF3iVebyhlZ1aqq,Stan Monsta X,7
The Idler Wheel...,Fiona Apple,spotify:album:6B5favhKTShFTjRLsKIUfa,Stan Monsta X,9
The Bravest Man In the Universe,Bobby Womack,spotify:album:7tJ3tERlaIjX7ZjcsbHGcc,Stan Monsta X,6
The Stoned Immaculate,Curren$y,spotify:album:6bmIK4DcRUAub2ppHMeLvq,Stan Monsta X,3
Synthetica,Metric,spotify:album:5fxOETYad2K8al7sS0K0Ra,Stan Monsta X,3
Oceania,The Smashing Pumpkins,spotify:album:3QqIpBZ7rQ9cBUwy6p0rIn,Stan Monsta X,6
4NML HSPTL,Open Mike Eagle,spotify:album:1VGl6SAdVbi0lveecKmdG4,Stan Monsta X,7
Slaughterhouse / Ty Segall & White Fence- Hair,Ty Segall Band,spotify:album:6QhMtcOQO98vzhYdzfjRAs,Stan Monsta X,8
NO,Old Man Gloom,spotify:album:1bv7eVlPxSnwbvI7Cq7AlM,sarah,6
In Our Heads,Hot Chip,spotify:album:0m9sCcxZ4yjQM4OedG9p8M,sarah,7
Drought,Deathspell Omega,spotify:album:4VzhDOgXQ0WxNtXdP4nD7v,sarah,8
Mysterious Phonk: The Chronicles of SpvcxxGhxztPvrrp,Spaceghostpurrp,spotify:album:1DCUmRW3KJAdKej304Yufu,sarah,5
Clockwork Angels,Rush,spotify:album:744i0LypfMwHHrKhzsqAx0,sarah,6
Swing Lo Magellan,Dirty Projectors,spotify:album:5zQgu9qi6mK8KuleuzM22C,sarah,6
Cocody,H-SIK,spotify:album:19VOE3OZbOIlfB748qqkQy,Stan Monsta X,7
Take the Kids Off Broadway,Foxygen,spotify:album:6MWXESNF37POkyhlvBslvU,Luis Liz ,8
Confess,Twin Shadow,spotify:album:3rhlzjGgPa8H48HYsibOeh,Luis Liz ,5
Channel Orange,Frank Ocean,spotify:album:392p3shh2jkxUxY2VHvlH8,Luis Liz ,7
Yellow and Green,Baroness,spotify:album:4mSoz87AFyUIcZlCmwbI8s,Luis Liz ,7
No Youth,Wreck and Reference,spotify:album:6bdCACofv1fRw4oSXccvHF,Luis Liz ,7
Life Is Good,Nas,spotify:album:4tpG2K3nqcrFNGBikX3dc0,Stan Monsta X,4
Self-Titled,Holograms,spotify:album:2x9BqJOjgRRQhOTTJO9qak,Stan Monsta X,8
Skelethon,Aesop Rock,spotify:album:2qEWs070O7BysPeVOWJZ1a,Luis Liz ,7
Unsound,Mission of Burma,spotify:album:4LY0WgnGiRhhfVJYO4tyKO,Luis Liz ,6
Self-Titled,TNGHT,spotify:album:4e0s9NinQo02X4exDDmW65,Stan Monsta X,9
Shrines,Purity Ring,spotify:album:7ppypgQppMf3mkRbZxYIFM,Luis Liz ,6
See the World Given to a One Love Entity,Guardian Alien,spotify:album:6j4wvaRD6YxMfhvcwGok3P,Stan Monsta X,6
"God Forgives, I Don't",Rick Ross,spotify:album:7qbUAnMt3SH0eDsu5xi2y4,Luis Liz ,3
Silencing Machine,Nachtmystium,spotify:album:74MuJS9J7ZNhzRhzNX254g,Luis Liz ,8
Gossamer,Passion Pit,spotify:album:14JU5SskmcyckE5I8PY6lv,Luis Liz ,6
Advaitic Songs,Om,spotify:album:4d0mUnopUHPOqs7R5ebbPm,Stan Monsta X,5
No Idols,Domo Genesis,spotify:album:1jAxVdQ2FFtbHu6kLNM0au,Sami Mian,5
Instinct,Niki and the Dove,spotify:album:61zfRoOHmRBEaLxBZsdLmA,Stan Monsta X,6
Mature Themes,Ariel Pink's Haunted Graffiti,spotify:album:2TIa83EYZBDWfmEj6VVoWu,Stan Monsta X,6
Light Up Gold,Parquet Courts,spotify:album:7p1ydiRQ7EOYgp4iWPdG3n,Stan Monsta X,7
Based on a T.R.U. Story,2 Chainz,spotify:album:3p6wrYqeSr2KPNzJpxNWSc,Luis Liz ,4
Hasta La Muerte,Xibalba,spotify:album:59ikKbPptmpb3l2ImEK8vW,Stan Monsta X,8
Key to the Kuffs,JJ DOOM,spotify:album:3vfJIvgaDgTQ30UbkgIdpi,Stan Monsta X,6
Metahuman,Eprom,spotify:album:4ZhjlfiYDJCvxGSMtGfaPa,Stan Monsta X,7
Devotion,Jessie Ware,spotify:album:7nxjemFXgk7MH9ZeTulRNb,Abhinav anand,4
Nocturne,Wild Nothing,spotify:album:2VNfCr5lY6CijjSp4ZA9h6,Abhinav anand,8
Four,Bloc Party,spotify:album:4uzMLnAMOzMGIOcrAgsWfr,Abhinav anand,7
Beams,Matthew Dear,spotify:album:27n3FCwaKMhglX17Ie72Ni,Abhinav anand,8
Autotheism,The Faceless,spotify:album:5ULYhovm1XwFpAgyPyeWhq,Aaron Muir Hamilton,5
The Seer,Swans,spotify:album:6cl6u3OMuyObk20qBb1jbx,Stan Monsta X,8
Welcome to: Our House,Slaughterhouse,spotify:album:5ztTCKLCKuiIXzXpbqdUGa,Stan Monsta X,3
Held,Holy Other,spotify:album:0zrqPKgMkF9bZNNjadfO8d,Stan Monsta X,6
Results,Murder Construct,spotify:album:2jhJdpS6hwLqZCnBrmjroe,Stan Monsta X,8
Centipede Hz,Animal Collective,spotify:album:1XtUILwRT4o8Yyl0m8USSK,Jacob Badali :),6
I Know What Love Isn't,Jens Lekman,spotify:album:7xhpLx3hPlLm8wCYaqb9US,Stan Monsta X,7
Ocean Roar,Mount Eerie,spotify:album:05bvtbRjfvIXzCS1PpEaji,Stan Monsta X,5
America,Dan Deacon,spotify:album:1CubFsGyJZjr1YPOnyc0OF,Stan Monsta X,5
Coexist,The xx,spotify:album:2cRMVS71c49Pf5SnIlJX3U,Stan Monsta X,4
Years Past Matter,Krallice,spotify:album:5pnUhJJEGMRlqxVZ0TiGMH,Stan Monsta X,8
Self-Titled,Ondatrópica,spotify:album:2FhpWHvd2N4zLXCHDAg8US,Stan Monsta X,9
Bend Beyond,Woods,spotify:album:5CMHNfabEoFCjYPIosFcSR,Stan Monsta X,7
Shields,Grizzly Bear,spotify:album:57LAEzKL94ZHwbIkUWYCDY,Stan Monsta X,6
I Bet On Sky,Dinosaur Jr.,spotify:album:24svEZbRU74QfHv1VAziWi,Stan Monsta X,7
Love This Giant,David Byrne & St. Vincent,spotify:album:4oRaFi044yhwH77gUXbH5I,Stan Monsta X,7
Total Loss,How To Dress Well,spotify:album:5MVoNAIcfhbvZKU1hXVijv,Stan Monsta X,6
Floral Green,Title Fight,spotify:album:5PuH5qKuCYTJWsareezH4X,Stan Monsta X,7
Breakthrough,The Gaslamp Killer,spotify:album:0C6Axf37EzoQtUFEldhc6n,Stan Monsta X,8
Food & Liquor 2: The Great American Rap Album Pt. 1,Lupe Fiasco,spotify:album:5rCCCernTo6IwFwEZM4H53,Stan Monsta X,5
ANX,Dark Time Sunshine,spotify:album:7ka5I3uQZV9Yyba1scbGZJ,Emerson K,7
Until the Quiet Comes,Flying Lotus,spotify:album:40aG9ahuLnAv96yoFG75Uy,Emerson K,7
Piramida,Efterklang,spotify:album:6IsCOalvnAxZbDseDoG1ep,Emerson K,5
Babel,Mumford & Sons,spotify:album:4QVDwpWrDPF2vUjlTHfRjr,Emerson K,6
The 2nd Law,Muse,spotify:album:3KuXEGcqLcnEYWnn3OEGy0,Emerson K,3
An Awesome Wave,Alt-J,spotify:album:6k3vC8nep1BfqAIJ81L6OL,Emerson K,8
NO LOVE DEEP WEB,Death Grips,spotify:album:08aqY8lv4zx4uaqBUpMD8a,Emerson K,8
Self-Titled,METZ,spotify:album:5hEGDneCq8aLnOq7BNGCkl,SPOOPI,6
Numbers,Mellowhype,spotify:album:13zS18xkaZrOUf2HGWLYQj,Emerson K,3
Lonerism,Tame Impala,spotify:album:3C2MFZ2iHotUQOSBzdSvM7,Emerson K,8
Transcendental Youth,The Mountain Goats,spotify:album:7l2lKqa3E3oTrF3y6rHAzJ,Emerson K,7
The Heist,Macklemore and Ryan Lewis,spotify:album:76FXHQhTuT4QMIxfL09gX8,Emerson K,7
Allelujah! Don't Bend! Ascend!,Godspeed You! Black Emperor,spotify:album:30bTXMxsMsYn7QbwmDW3rj,Emerson K,8
All We Love We Leave Behind,Converge,spotify:album:28DI3wfImTqTrHkPiOa0PI,Emerson K,8
PBX Funicular Intaglio Zone,John Frusciante,spotify:album:1NghpzjRdQPh5eAvfwvJLC,Emerson K,2
Jiaolong,Daphni,spotify:album:4MLv6PbCID5my2Dtya3iUd,Emerson K,6
The Parallax II: Future Sequence,Between the Buried and Me,spotify:album:1SIWICMyd07WaAwrOWKchn,Emerson K,4
Give Me My Flowers While I Can Still Smell Them,Blu & Exile,spotify:album:1EXBIXnbaOZx2ydlsGj3K8,Emerson K,7
"good kid, m.A.A.d. city",Kendrick Lamar,spotify:album:6PBZN8cbwkqm1ERj2BGXJ1,Emerson K,9
Alone Together,Karriem Riggins,spotify:album:2DYyooCyKRF6rH4Cf8yywy,Emerson K,8
In the Middle of Infinity,3:33,spotify:album:1Pf1u3XdmKRBmPeqZEhLTA,Sami Mian,6
Book Burner,Pig Destroyer,spotify:album:604JFtgeDXfwIRVqZtaCZg,Emerson K,6
3rd EP,Hoax,spotify:album:1X2wDTf6j2dlCloAYCslhZ,Stan Monsta X,6
Unknown Rooms: A Collection of Acoustic Songs,Chelsea Wolfe,spotify:album:6CL2rdgPpUEXwWsNjexAZ5,Emerson K,7
Luxury Problems,Andy Stott,spotify:album:6XpD4GhQq4olgxxgX6BXdv,Emerson K,7
2,Mac DeMarco,spotify:album:7x6wYKbZUU2BL3N8ZWwM3q,Emerson K,6
Made Possible,The Bad Plus,spotify:album:7vchHzylfmxci4dJrq0VOg,Emerson K,8
Cobra Juicy,Black Moth Super Rainbow,spotify:album:42oggZmZI9b5BOPMGvYuXh,Emerson K,5
Zeros,The Soft Moon,spotify:album:3LDFpMhJtaDfmAeV2dnnjs,Emerson K,4
Dripping,Pile,spotify:album:1EATaHbkgnTHArARzB9THv,Emerson K,8
Honor Found In Decay,Neurosis,spotify:album:3ieHsVd1OhfVUn3I9Lpiak,Emerson K,7
Local Business,Titus Andronicus,spotify:album:4dx4Khp1YnIcZrTTdRHy1I,Emerson K,6
Agnus Dei,The Secret,spotify:album:3aKSU4qZvZYMX7uzvrt9Id,Emerson K,5
The Haunted Man,Bat For Lashes,spotify:album:0Py0JJuqxNxWfBOddpI59r,Emerson K,7
LUX,Brian Eno,spotify:album:7fZ98u1pGT8iX8hdkebG7O,Emerson K,6
(III),Crystal Castles,spotify:album:1NIfkZIYVAO6vnfmFOilHc,Emerson K,4
Self-Titled,Jessica Pratt,spotify:album:5gSKVqiuyfeTJ0pie14RW4,Emerson K,7
Koi No Yokan,Deftones,spotify:album:4PIVdqvL1Rc7T7Vfsr8n8Q,Emerson K,6
Wiki93,Ratking,spotify:album:2cAmzQoHrAl15cMdp6tfYb,Emerson K,5
Order of Noise,Vessel,spotify:album:4g6zeRqvd6AlialkRxa5VL,Emerson K,7
World Music,Goat,spotify:album:6E80uDKNQDGjggp5isU2Mb,Emerson K,5
Movement,Holly Herndon,spotify:album:6uPJt7zcZJPRebnIIyqs1m,Emerson K,7
The Odds,The Evens,spotify:album:3iqK0TuZ8YTknYc4Cf0YwK,Emerson K,8
Instrumental Tourist,Tim Hecker and Daniel Lopatin,spotify:album:5f9hKx6e6pkvvAB396IwjA,Stan Monsta X,5
Into the Future,Bad Brains,spotify:album:0vs6u8mGYIcW50GGyV4SF7,Stan Monsta X,3
Half Way Home,Angel Olsen,spotify:album:2CQY5a9aqLxICQjFfsMIOf,Emerson K,7
Floral Shoppe,Macintosh Plus,spotify:album:47ASXS1yLPfpc8yeeNQCIx,Abhinav Anand,4
Wild Water Kingdom,Heems,spotify:album:0UpBLWR9HPBytz8rMyO06P,( Anonymous ),5
Love Is Love // Return To Dust,Code Orange Kids,spotify:album:1P9UvZjhPeQMVzwcluCzue,Austin Diaz,6
Self-Titled,Wu-Block,spotify:album:6yV8YmewWEObxaZG9wTZ7q,Emerson K,6
Bish Bosch,Scott Walker,spotify:album:5EUAl341bOrY661zcYD2iV,Emerson K,7
Widowmaker,Dragged Into Sunlight,spotify:album:3qGOkAn39Ehz55wbcDZxG9,Abhinav Anand,6
Self-Titled,Roomful of Teeth,spotify:album:3lwMLjUsXxJhhb1ge2YXl8,Emerson K,7
We Don't Even Live Here,P.O.S,spotify:album:2ChAeaMfoLPOtl1Bzpn1Cx,Emerson K,5
Kaleidoscope Dream,Miguel,spotify:album:21XMv0TCsnhWPt7MNVvkzD,Emerson K,6
Jesus Piece,The Game,spotify:album:5IBNSiR9VYaGIxOfcOJ2LB,Austin Diaz,5
Finally Rich,Chief Keef,spotify:album:6VML3yX1WR5pXtg6fmwdzZ,Austin Diaz,4
Truant / Rough Sleeper,Burial,spotify:album:2GCAIlSpOgy4g2GRTsV6n8,Abhinav Anand,8
Is Your Love Big Enough?,Lianne La Havas,spotify:album:3M9gXLcmUXOBVTLqLlHSSd,Emerson K,7
Things That Happen At Day / Things That Happen At Night,Milo,spotify:album:3rwIl0gcVk8mSTg1s9Q4NB,SPOOPI,8
Long.Live.A$AP,A$AP Rocky,spotify:album:6rzMufuu8sLkIizM4q9c7J,Emerson K,7
Decompositions: Volume Number One,Circles Takes the Square,spotify:album:2i6pPPwaPMKZ3ZlohpAYsi,Emerson K,6
PEEP: The aPROcalypse,The Progressive Era,spotify:album:1TMyaIKCBhLfJaTSIBo2tK,( Anonymous ),8
Anything In Return,Toro Y Moi,spotify:album:3xDRuOqakukb1SjHQG4WWc,Austin Diaz,4
Fade,Yo La Tengo,spotify:album:7cReNgYN2wNYsj78NB67ut,Emerson K,7
We Are the 21st Century Ambassadors of Peace & Magic,Foxygen,spotify:album:1iQNqvcWTFwfUYnsGgMYBw,SPOOPI,8
{Awayland},Villagers,spotify:album:7Hw5WowWzfIqaurdd4ct7q,Austin Diaz,7
Vertikal,Cult of Luna,spotify:album:3FEmnamAHHOiJ8hG7tMdJP,SPOOPI,5
Home,Nosaj Thing,spotify:album:5IZq5XHZil3Gb88QKMurG4,SPOOPI,5
13.0.0.0.0,TTNG (This Town Needs Guns),spotify:album:3QQOkN9iqJJrwXohbNYRiP,Austin Diaz,7
Self-Titled,Comadre,spotify:album:5x1rCm7QGTmuP4plqH6FGY,Emerson K,8
General Dome,Buke and Gase,spotify:album:1rehPo6liAJ2qu6jujOX04,Papua sedang dijajah,8
Hummingbird,Local Natives,spotify:album:7yyWUVLAvgwdmMmXSxMykK,Papua sedang dijajah,5
Self-Titled,California X,spotify:album:7q9Urfla7YvwHSdbYoeAhj,Aaron Muir Hamilton,6
Oddfellows,Tomahawk,spotify:album:5ycHsU5zOMfjRFJPLkxCwF,Aaron Muir Hamilton,6
Heartthrob,Tegan and Sara,spotify:album:5IUJ6v408Z7pECC3BXUJxX,Emerson K,3
Quantum Leap,Dumbo Gets Mad,spotify:album:1sH5bkdJE0sq03jnNOFrdf,Emerson K,6
II,Unknown Mortal Orchestra,spotify:album:41C5iULlHU9sMYiekI75Pn,Emerson K,7
Indigoism,The Underachievers,spotify:album:1dB64RmXsX57irQpWrjZGp,Austin Diaz,7
Waiting For Something To Happen,Veronica Falls,spotify:album:1Wj5YHBkXA37PhMCcUT9OZ,Abhinav Anand,6
Holy Fire,Foals,spotify:album:0PIR7PK8DMB4pgoxq7F9Ad,Austin Diaz,5
Honeys,Pissed Jeans,spotify:album:1nHN6c8xXqgYyUmkJHZucJ,Austin Diaz,7
The Man Who Died In His Boat,Grouper,spotify:album:2arK6QEmfa25k2feNozs9e,Austin Diaz,7
Vexovoid,Portal,spotify:album:0PtGwwqM6zFvawkY3JHtfq,Austin Diaz,5
